Item root[226]['classTime'][5] added to iterable.
Value of root[987]['select'] changed from 0 to 1.
Value of root[990]['select'] changed from 0 to 1.
Value of root[997]['select'] changed from 0 to 3.
Value of root[998]['select'] changed from 0 to 3.
Value of root[1002]['select'] changed from 0 to 1.
Value of root[1008]['select'] changed from 0 to 2.
Value of root[1009]['select'] changed from 0 to 2.
Value of root[1011]['select'] changed from 0 to 2.
Value of root[1012]['select'] changed from 0 to 2.
Value of root[1023]['select'] changed from 0 to 2.
Value of root[1028]['select'] changed from 0 to 1.
Value of root[1036]['select'] changed from 0 to 1.
Value of root[1038]['select'] changed from 0 to 2.
Value of root[1039]['select'] changed from 0 to 2.
Value of root[1682]['room'] changed from "一C,D,E()" to "".
Value of root[1683]['room'] changed from "一C,D,E()" to "".
Value of root[1684]['room'] changed from "一C,D,E()" to "".
Value of root[1685]['room'] changed from "一C,D,E()" to "".
Value of root[1686]['room'] changed from "一C,D,E()" to "".
Value of root[1687]['room'] changed from "一C,D,E()" to "".
Value of root[1688]['room'] changed from "二C,D,E()" to "".
Value of root[1689]['room'] changed from "二C,D,E()" to "".
Value of root[1690]['room'] changed from "二C,D,E()" to "".
Value of root[1691]['room'] changed from "二C,D,E()" to "".
Value of root[1692]['room'] changed from "二C,D,E()" to "".
Value of root[1693]['room'] changed from "二C,D,E()" to "".
Value of root[1694]['room'] changed from "二C,D,E()" to "".
Value of root[1695]['room'] changed from "二C,D,E()" to "".
Value of root[1696]['room'] changed from "二C,D,E()" to "".
Value of root[1697]['room'] changed from "二C,D,E()" to "".
Value of root[1698]['room'] changed from "二C,D,E()" to "".
Value of root[1699]['room'] changed from "二C,D,E()" to "".
Value of root[1700]['room'] changed from "二C,D,E()" to "".
Value of root[1701]['room'] changed from "二C,D,E()" to "".
Value of root[1718]['select'] changed from 0 to 1.
Value of root[1719]['select'] changed from 0 to 1.
Value of root[1733]['select'] changed from 0 to 1.
Value of root[1734]['select'] changed from 0 to 1.
Value of root[1735]['select'] changed from 0 to 1.
Value of root[1736]['select'] changed from 0 to 1.
Value of root[1760]['select'] changed from 0 to 2.
Value of root[1774]['select'] changed from 0 to 3.
Value of root[1796]['select'] changed from 0 to 1.
Value of root[2443]['select'] changed from 0 to 1.
Value of root[2445]['select'] changed from 0 to 1.
Value of root[2462]['room'] changed from "六2,3,4(管CM 2036)" to "".
Value of root[2463]['room'] changed from "二8,9,C(管CM 1026)" to "".
Value of root[2464]['room'] changed from "五2,3,4(管CM 1030)" to "".
Value of root[2465]['room'] changed from "二2,3,4(管CM 2036)" to "".
Value of root[2466]['room'] changed from "五8,6,7(管CM 2036)" to "".
Value of root[2467]['room'] changed from "四8,6,7(管CM 2036)" to "".
Value of root[2468]['room'] changed from "四C,D,E(管CM 1030)" to "".
Value of root[2469]['room'] changed from "三6,7(管CM 3035)" to "".
Value of root[2470]['room'] changed from "三B,5(管CM 3035)" to "".
Value of root[2471]['room'] changed from "五2,3,4(管CM 3019)" to "".
Value of root[2472]['room'] changed from "二C,D,E(管CM 1030)" to "".
Value of root[2473]['room'] changed from "一2,3,4(管CM  2021)" to "".
Value of root[2474]['room'] changed from "五8,6,7(管CM 2021)" to "".
Value of root[2475]['room'] changed from "四C,D,E(管CM 1026)" to "".
Value of root[2476]['room'] changed from "三2,3,4(管CM 2016)" to "".
Value of root[2477]['select'] changed from 0 to 1.
Value of root[2477]['room'] changed from "一8,6,7(管CM 2016)" to "".
Value of root[2478]['select'] changed from 0 to 1.
Value of root[2478]['room'] changed from "四6,7(管CM 2016)" to "".
Value of root[2479]['room'] changed from "四6,7(管CM 2016)" to "".
Value of root[2480]['select'] changed from 0 to 2.
Value of root[2480]['room'] changed from "四3(管CM 2020)" to "".
Value of root[2481]['room'] changed from "五5,6,7(管CM 2020)" to "".
Value of root[2485]['room'] changed from "三2,3,4(管CM 1035)" to "".
Value of root[2486]['room'] changed from "三5,6,7(管CM 1020)" to "".
Value of root[2487]['room'] changed from "五3,4(管M 1020)" to "".
Value of root[2488]['room'] changed from "三D,E,F(管CM 1035)" to "".
Value of root[2489]['select'] changed from 0 to 1.
Value of root[2490]['select'] changed from 0 to 1.
Value of root[2527]['select'] changed from 0 to 1.
Value of root[2563]['select'] changed from 0 to 1.
Value of root[2566]['select'] changed from 0 to 2.
Value of root[2586]['select'] changed from 0 to 3.
Value of root[2587]['select'] changed from 0 to 3.
Value of root[2594]['select'] changed from 0 to 3.
